InspectionID,DefectCategory,SeverityWeight,TranslatedText,VaderCompound
7220,Not a Defect,0.0,The cover is good anymore doesn't fit perfectly into the device leaving part of the camera and digital sensor covered,-0.3773
7224,Logistics Issue,3.05,Exaggerated waiting to receive in the product.,-0.1027
7227,Fulfillment Error,3.56,"I didn't notice an error after I bought it. CANCEL IMPOSSIBLE, SAME BEFORE I MADE NF. DO NOT ANSWER EMAIL, TELEPHONE CONTACT DOESN'T WORK.",-0.1217
7230,Not a Defect,0.0,I love the baratheon... it needs more variety... coucha mainly very repeated,0.6369
7238,Quality Issue,2.64,"The product is of very high quality, 100% POLIESTER, HORRIVABLE TEXTURA, NOT RECOMMENDED.",-0.2811
7251,Logistics Issue,3.16,"I received 2 messages from the store, telling me that the order had been cancelled, because the supplier had not contacted! What happens now, send me a message asking if I received the product",-0.3164
7255,Quality Issue,2.67,I've received a defect.,-0.34
7268,Logistics Issue,2.89,"I bought the product trusting in the Lannister stores and not in the targaryen which seems to have not delivered the product at the right time to the Post Offices, and I did not receive clarification from the targaryen, but the product arrived, obg",0.2144
7279,Logistics Issue,3.0,Give it to me on time!,0.0
7283,Fulfillment Error,3.5,"It's the fourth time I've asked for the return of the product and until the moment I don't return, because the measures of the stock aren't the same as those stated in the act of buying.",0.0
7294,Logistics Issue,3.0,Deliveries and long delays,0.0
7300,Logistics Issue,2.7,"More respect for the consumer, it was for the present!!",0.6094
7304,Quality Issue,2.5,MUCH PRODUCT HERE OF DESIGN.,0.0
7319,Critical Failure,5.0,I didn't get the product,0.0
7320,Not a Defect,0.0,Good network and arrived fast,0.4404
7321,Logistics Issue,3.21,"I bought 96 units (2x48), but I only received 48 units (1 box of 48) I need URGENTLY from the rest of the purchase, because half of my request was missing I am waiting for contact reference complaintc",-0.4215
7330,Logistics Issue,3.11,"I know the problem has occurred with the delivery, but so far I have not received any position from the company regarding the return.",-0.2144
7332,Not a Defect,0.0,fast delivery and good quality,0.4404
7336,Logistics Issue,3.0,Product delivered out of time but arrived correctly.,0.0
7346,Logistics Issue,3.37,"I was very upset because I stopped buying from another seller and after many days I received an email informing that the product could not be delivered, buy and not receive it is very boring.",-0.7496
7349,Logistics Issue,2.82,Unfortunately it hasn't been delivered yet! First purchase at stark's partner store and I had this surprise... we should be more careful about that!,0.351
7350,Logistics Issue,3.0,so far I haven't received,0.0
7352,Logistics Issue,3.0,And the second time I buy and so far I haven't got what I bought.,0.0
7362,Logistics Issue,2.95,"Product has reached beyond the stipulated deadline. Due to this fact, I had to buy another phone to present my Father in Matal, because the same one needed to be delivered in hands in Rio Grande do Sul.",0.1027
7399,Logistics Issue,3.31,The problem was the delay in delivery.,-0.6124
7407,Logistics Issue,3.0,"I bought two, but one was delivered, and I'm on hold.",0.0
7408,Fulfillment Error,3.59,I called for the delivery of the product because it's all broken up and I'm on hold of the recovery of the value.,-0.1779
7412,Not a Defect,0.0,I have doubts about the originality of the product.,-0.296
7419,Logistics Issue,3.37,"The purchase was made with a long delivery time of 20 days and the forecast of ATÉ 26/12, fact not occurred. The product has not yet been delivered! They did not respect the deadline. NO INDIQUE!!",-0.7479
7426,Quality Issue,2.58,Low Quality Product presents clear low quality of the product.,-0.1531
7436,Logistics Issue,3.0,Every time I bought you delivered... now that the carrier was the mail you didn't deliver... you should have the carrier's name before you bought it.,0.0
7437,Logistics Issue,3.2,"I had problems with the delivery, I haven't received the product yet.",-0.4019
7472,Quality Issue,2.79,The product does not have good quality the lids do not completely close and it does not fully fit in the car panel.,-0.5765
7479,Logistics Issue,3.0,I'm waiting for the product!,0.0
7480,Service Defect,2.31,So far I have not received the communication of the complaint that I made about the malfunction of the device that is defective.,-0.6249
7503,Not a Defect,0.0,"Cell phone No chip fits, no adapter!I'm looking for more practical solution.If I can't, I'll have to change the product.I received the 17/8.",-0.5707
7506,Not a Defect,0.0,It should be clear to whoever is going to buy that the product is a replica!,0.4389
7512,Fulfillment Error,3.5,"Incorrect color I received the product, but with the incorrect color of what I ordered at the time of purchase. I bought gray, I received marine blue.",0.0
7514,Fulfillment Error,3.69,"Unfortunately, wait a lot! At the delivery site you are happy. You arrived well ahead of schedule. Too bad the tablet locks a lot and the system uses a lot of internal space that is no longer there these things.",-0.3802
7517,Logistics Issue,3.16,Delivery time exceeded and nothing of the product or any email about talking about the delay and your reason.,-0.3182
7518,Fulfillment Error,3.83,"The advertised product is one and the delivered product is another and of very low quality. Inadmissible this type of attitude that hurts the consumer protection code, deliver product different from the advertised",-0.6697
7531,Fulfillment Error,3.2,"The male comes in 4 parts, but when they fit they get off, so much so that the curtain hangs it gets crooked with a ""belly"" between a hook of fixation and another!!",0.5905
7535,Not a Defect,0.0,Very good.,0.4927
7537,Fulfillment Error,3.5,"I had to buy a cable that didn't come with the adapter, incomplete adapter for use.",0.0
7541,Not a Defect,0.0,"The mattress is beautiful, the fabric is thin, easy to dry. The finish of the smaller cushions is not cool, because they get tight.",0.7039
7544,Fulfillment Error,3.5,the product purchased was HDMI cable and came VGA. I need to switch.,0.0
7557,Fulfillment Error,3.2,I wish for the refund of the value paid and I don't want the product.... they sent me a product totally different from the one requested besides the color being gray and not black the model came for a car different from mine,0.5964
7562,Logistics Issue,3.0,Nothing's come yet. I understand we were in Greve longer until he gets here.,0.0
7572,Logistics Issue,3.16,delivery delay,-0.3182
7598,Critical Failure,5.0,I didn't get the product and I'm waiting for my money back.,0.0
7599,Fulfillment Error,3.6,"DESCRIPTION OF THE PRODUCT INCO on the Occupy Hote was written that it was 30 boxes for 9,90 and only came 1 and still charges me the freight of twice the product I want to return.",-0.2023
7605,Quality Issue,2.67,"The product came with defect, the toner is staining the papers too much, even seems to be at the end of the printing.",-0.34
7622,Fulfillment Error,3.66,"Good afternoon! I received a product, however, it is not the purchase I made, my order was from a zipper cover/bag and I received a thin, very ugly cap! I need you to send us the correct merchandise",-0.3131
7627,Not a Defect,0.0,"The product came with rust signals, the battery does not charge, there is no recording. I request the return of the product, and the payment returned.",-0.296
7630,Fulfillment Error,3.28,I hope to get an answer for my order. I bought 3 remote controls for air conditioning and only received 1 Komeco control and the 2 Elgin controls orders and payment was only delivered 1 Elg control,0.4404
7633,Logistics Issue,3.0,"Didn't meet the delivery deadline, I haven't received the product yet.",0.0
7640,Not a Defect,0.0,good reasonable product,0.4404
7649,Logistics Issue,3.0,The glass bottle hasn't arrived yet... but the glasses are... I'll wait.,0.0
7650,Logistics Issue,2.92,"I bought two tires, and the company sent only one to the post office. I turned on the Procon from my town to get the other one. Until then, it looks like the company's gonna solve my problem.",0.1531
7668,Not a Defect,0.0,"Very fragile!!! I found the product very small and where the ""screen"" with the microwave buttons comes out easily. It doesn't have a good fit...",0.522
7675,Logistics Issue,3.0,The product has not yet been delivered in time. What do I do???,0.0
7694,Logistics Issue,3.0,My product is a week late.,0.0
7700,Fulfillment Error,3.74,"I have to return, product came wrong",-0.4767
7707,Logistics Issue,2.86,"Room curtain Just one complaint, I paid the freight to receive at my residence, and the product was delivered to the post office, now who will repay me with the value I spent to go to the post office??????",0.2869
7708,Not a Defect,0.0,My request was delivered very well.,0.3384
7720,Logistics Issue,3.0,"After a long and arduous time, the product was delivered. I think it came by wagon.",0.0
7721,Not a Defect,0.0,I want my money back.,0.0772
7729,Fulfillment Error,3.5,?? Only one multimedia center arrived and I bought 2,0.0
7737,Logistics Issue,3.0,The deadline for delivery of the product was April 11th. It's been two days and the merchandise hasn't arrived.,0.0
7739,Fulfillment Error,3.77,In the photo and in a way when there comes to be bad,-0.5423
7743,Service Defect,2.0,Consistency was lacking because I received an e-mail saying that it would arrive day 08/12 but soon after I received another saying that if I did not answer a questionnaire it was considered that I had received the product,0.0
7759,Critical Failure,5.0,"I didn't get my request, and now what I do",0.0
7762,Fulfillment Error,3.83,"The product sent does not match the visa in the photos of the advertisement. It is of poor quality, does not meet the expectations and does not serve for the end that was acquired, besides the delay in delivery.",-0.6597
7772,Not a Defect,0.0,Good service,0.4404
7784,Quality Issue,2.29,"Tomorrow I'm gonna call the office asking for my money back, super fragile product, my mom's gonna stretch it out on the mattress, and she tore it up, and I don't recommend it.",0.4195
7786,Fulfillment Error,3.5,"As I made the registration on the website of the Americas already, the same day I received, I am reiterating that in the product advertisement says 4 pieces with a single request, I only received one piece. I am waiting for the return.",0.0
7788,Logistics Issue,3.07,"I didn't like the product, but it was delivered.",-0.1419
7795,Logistics Issue,3.0,I didn't get the order all I've already sent a message and until today they didn't answer me . I only got part of the order,0.0
7804,Service Defect,2.0,Where's my faucet?,0.0
7819,Logistics Issue,3.07,"For now I do not recommend the store, since the product has not yet arrived. All the others I bought on the same order have already been delivered, but only the one from this store has not yet received.",-0.1419
7821,Not a Defect,0.0,"I need to change the reason for: Serramar Dairy Cooperative. The rest is correct, no correction letter is needed",-0.296
7822,Logistics Issue,2.96,I haven't received the product yet. I bought the day 22/1017. I want my product or the money back.,0.0772
7831,Fulfillment Error,3.5,Product different from the photo. Product without closure and therefore does not serve.,0.0
7838,Logistics Issue,2.82,"I've had my request since 15/02, I haven't received it yet, I'd like to make arrangements.",0.3612
7852,Not a Defect,0.0,"I had a problem with the company because I had already canceled the product and had already sent me the cancellation email, even so it was charged on the credit card and I was sent the product. I stayed then.",-0.2878
7869,Quality Issue,2.5,Functional Delivery within the deadline.More the film is taking off the sides,0.0
7891,Not a Defect,0.0,"I didn't like the quotilla stuff, I found a lot of veins.",-0.2755
7897,Not a Defect,0.0,Present It is present to mor I will only know if it came correct when he picks me up. but the delivery was terrible the Post Offices did not give up I had to go always to buy website and they deliver right but by targaryen not,-0.631
7898,Not a Defect,0.0,"When I made the purchase I paid the freight, I had to go pick up in the mail disrespectful when selling you accept then we have to go get it, I don't buy anymore and I don't recommend it.",0.1255
7899,Not a Defect,0.0,"I saw on the Internet that the product is fake, inside the capsule doesn't have the well-spoiled, upset mega.",-0.6908
7905,Critical Failure,5.0,They didn't give me the product... they didn't call me... they didn't give me any numbers so I could talk to some rep... they have an anxious child waiting for the product that doesn't arrive.,-0.25
7910,Logistics Issue,2.82,"Although it was within the promised deadline, it took almost three weeks to arrive.",0.3612
7912,Fulfillment Error,3.66,I recommend this store more they should pay more attention when they separate the pieces for shipment because came the right cover plus the wrong glass film,-0.3102
7913,Logistics Issue,3.18,I wait more than three months to say no I had the product!,-0.3595
7915,Not a Defect,0.0,"From what seems to be the product was misled by the mail / stolen cargo, and I simply have no explanation or return of the company. I have tried to contact the Lannister and protocol.",-0.6597
7917,Not a Defect,0.0,"Horrible without quality Very low quality product, very thin fabric, has nothing to do with ?FELPUDAS? in my opinion if it had been sold for 20,00 still would be expensive, very badly done!!!",-0.7963
7918,Fulfillment Error,3.74,Disappointed I wasn't sent the color I had requested.,-0.4767
7943,Not a Defect,0.0,"Horrible curtain, super thin and transparent, does not look beautiful in the room, very different from the photo, ugly material, I totally regretted, had q improvised putting another fabric that I had. terrible!",-0.9068
7948,Fulfillment Error,3.65,missing the four bracelets.. only came 3 bracelets in the packaging.. I made two purchases.. one of a kit of 3 bracelets and another with a kit of 4 bracelets.. only arrived the kit of 3 bracelets..,-0.296
7949,Fulfillment Error,3.28,Good Didn't come the right package,0.4404
7952,Fulfillment Error,3.74,"False The card I received is fake. It started with the color of the card that was not the same as the photo site. the cell phone and PC did not recognize the card. finally, I found that the acronym of the prodt. It is for a less capacity",-0.4767
7959,Fulfillment Error,3.5,"The watches were supposed to be the same, came from different brands and sizes",0.0
7967,Quality Issue,2.87,Disappointed!!!! The product specification does not match the delivered merchandise. Deceptive propaganda!!!!!!,-0.7405
7969,Fulfillment Error,3.5,I bought 2 niches and only got the black niche 40x30.,0.0
7972,Logistics Issue,3.0,I haven't gotten my product yet.,0.0
7990,Not a Defect,0.0,Great.,0.6249
7995,Fulfillment Error,3.44,The support for the feet is missing. Only the vessels have arrived.,0.128
8023,Fulfillment Error,3.32,Last purchase Although the product does not come to the identical purchase made pq I have the scale print I recommend the store more now with one foot back,0.3612
8028,Logistics Issue,2.71,A real absurd hj is already August 9th and nothing from the delivery of my product. A real lack of respect. The stark should choose his means of sweating better.,0.5719
8035,Logistics Issue,3.0,"Delivery delay At the Lannister Stores I have already made several purchases without problems, but this one is very late",-0.0054
8050,Logistics Issue,3.0,"The store did not meet the informed delivery deadline, which would be ""until"" 08/08/2018.",0.0
8053,Logistics Issue,2.96,"I bought a product day 06-09-2017 and until today I did not receive, the order number: 02-6502 47333",0.0772
8056,Not a Defect,0.0,"I want to return the first time, I want to return the proturo, because it is a Bluray player and DVD Cd recorder -UJ141 Case 3.0 for white DVD mounting - CASE 3.0BRANCA.CO.When connecting the product in the notebok does not function.",0.1531
8061,Quality Issue,2.74,"Product that signs of use, stained, marked and broken",-0.4767
8076,Quality Issue,2.61,Fine fabric The photo does not look like the product. It is a fine fabric and with some errors in the seams,-0.2287
8084,Not a Defect,0.0,"The tracking says it was delivered, but I didn't get anything...",0.0
8085,Logistics Issue,2.96,We bought three units and were delivered only two units. I await solution of the problem!,0.0752
8091,Fulfillment Error,3.26,"Well, the backpack's great, but I've been asking for white and I've seen a lot of sugar.",0.4767
8101,Not a Defect,0.0,I just got part of my order. It's a shame because the product is great and came on time. I don't understand why it didn't come complete.,0.25
8106,Logistics Issue,2.72,He's already come with a degree. He's very strong.,0.5563
8107,Fulfillment Error,3.5,"Product isn't what it shows, it says it has 50watts of power but it's a lie. I measured...",0.0
8108,Logistics Issue,3.33,I'm disappointed with the delay in delivery.,-0.6597
8119,Logistics Issue,3.0,"Request with parcel delivery I have not yet received the other product I paid two freights in one order The purchase was made by Lourdes Marli Barichello Conception for my grandson mateus, underage.",0.0
8124,Fulfillment Error,3.53,Good product I got the wrong product.,-0.0516
8138,Logistics Issue,3.0,"Product delivered correctly, but I thought it took time!",0.0
8143,Fulfillment Error,3.11,"Delivery ok wrong product I acquired the curtain because I liked the details and price and price, but the curtain arrived with the color very different from the image, and without the details. Although it is beautiful, I did not install it, and I do not know if I will stay.",0.7783
8144,Fulfillment Error,3.46,The product is not what I imagined I want to return it too small I can't see anything,0.0772
8176,Logistics Issue,3.0,Product not arrived I'm still waiting for the product,0.0
8191,Fulfillment Error,3.71,"The product had tax grade on all items, but there are missing parts.",-0.4215
8194,Logistics Issue,2.86,I made the purchase of 3 units.But what was my surprise when I received the box.There was only one unit and the note attached were 3 units.I immediately contacted the Post Offices.I was informed that,0.2732
8198,Not a Defect,0.0,"The film sent does not protect the entire screen, neither in length nor in width. Only the functional screen",-0.2924
8199,Logistics Issue,3.17,I bought the product 20/07/2018 the delivery until 01/08/2018 nor satisfaction .,-0.3412
8204,Logistics Issue,3.0,very long,0.0
8213,Quality Issue,2.7,"Product inferior to the photo, tips that came are not compatible with the product",-0.4019
8228,Logistics Issue,3.15,I only received half of the products the tax bill came in the value lower than the payment .. I do not recommend ! I gave a star pq eh obliged to give at least one,-0.2964
8229,Fulfillment Error,3.67,"I don't recommend my glass film has come all sliced up! I need an entire,",-0.3404
8238,Not a Defect,0.0,"Dissatisfied No comments, no indication",-0.4427
8255,Logistics Issue,2.84,They gave me a huge deadline to send the product and on the last day? they sent me an email saying they don't have the product. Now I have the bureaucracy to receive my money back.,0.3182
8274,Fulfillment Error,3.79,"One negative point I found was the collection of 3 delivery fees, and I bought the 3 same products in one purchase, and even when I bought the products together, they arrived separately.",-0.5719
8278,Fulfillment Error,3.64,"The color of the grippers and the color of the Barra are dark lilacs, the one that came was Rosa I did not like. I prefer not to think about the shop Errar eh human",-0.2755
8279,Quality Issue,2.7,Product does not match the photo because what was sent is of different color and inferior quality. In local supermarkets the product is sold to less than 15 reals.,-0.4019
8295,Logistics Issue,2.96,I bought it from the Lannister website where it is a reliable site and I did not receive my goods scheduled for 17/04/2018. I have already seen that I want to know if I will receive my goods.,0.0772
8297,Logistics Issue,3.21,"I bought and didn't take, I bought in November with promise to receive the product in 12 days, it's already been more than 30 days... and the worst without any contact, without any information. detail 2 paid installments",-0.4215
8299,Logistics Issue,2.79,"Supplier must have acted out of my faith, because I bought two units and only one arrived.",0.4215
8311,Not a Defect,0.0,"It's not original, it's the announcement that it's original.",0.0869
8316,Logistics Issue,3.0,Despite making the request by phone the given deadline was not met.,0.0
8320,Fulfillment Error,3.5,I bought and paid for two kits. I only got one.,0.0
8321,Fulfillment Error,3.71,Wrong product I want the exchange,-0.4215
8323,Logistics Issue,3.03,I don't want this to buy any more necessary refund because I canceled,-0.0572
8324,Quality Issue,2.82,"The product that came isn't worth what I paid for, bad finish and irregular.",-0.6329
8327,Not a Defect,0.0,"Great, and I recommend grade eight and a half.",0.765
8331,Not a Defect,0.0,"falsified product falsified product, and a mine listens to both that I bought does not work .....",-0.6369
8332,Quality Issue,2.9,"Bad finish Product with bad finish, case of equipment misaligned and with gaps in the sides.",-0.7906
8341,Logistics Issue,3.0,The product has not yet arrived,0.0
8342,Logistics Issue,3.0,I was supposed to be here on the 14th and so far nothing.,0.0
8343,Logistics Issue,2.68,Good morning. I bought 2 products 01 ceiling fan that I haven't received yet. and a schime filter that I went to pick up in the mail even paying freight.,0.6369
8371,Logistics Issue,2.72,Great Even with the trucker strike arrived on time,0.5574
8375,Fulfillment Error,3.65,"Bad order came in half. I bought carnation extractor and channel, but I only got the hair.",-0.3071
8378,Logistics Issue,3.14,I do not recommend buying this product delivery very late,-0.2755
8388,Major Product Issue,4.17,The clock doesn't work any better than I've done in the baratheon.,-0.3412
8400,Quality Issue,2.67,Product came with defect,-0.34
8404,Logistics Issue,3.17,I bought a skateboard on 8/12/17 and until today we haven't received my daughter without a Christmas gift because you couldn't deliver the product or my money back,-0.3412
8405,Fulfillment Error,3.7,Wrong product Delivery of the product other than requested I await guidance for the exchange,-0.4019
8409,Logistics Issue,3.0,pending delivery of the product,0.0
8424,Not a Defect,0.0,a good store,0.4404
8431,Logistics Issue,3.09,"Although the packaging was very crushed, the product was not damaged and arrived on time.",-0.1747
8450,Fulfillment Error,3.36,I got it wrong. I asked for Pure Seduction and Love Spell came.,0.2732
8453,Logistics Issue,3.0,I bought two and they delivered one so. That's absurd.,0.0
8460,Logistics Issue,2.97,I'd like to know pq not venom the right inhaler I lost one and venom another I'm trying to talk to the selling and I can't.,0.0516
8464,Critical Failure,5.0,Bad shop my product never arrived or left the status waiting for tax notice until I gave up the purchase and so far I have not received the information of reparation,-0.5423
8470,Fulfillment Error,3.5,Watch with Eiffel Tower pendant.,0.0
8485,Fulfillment Error,3.76,The box came kneaded and wet. Four bottles of 500 ML came and one came cut and leaked half of the product.,-0.5267
8487,Fulfillment Error,3.56,the product was delivered wrong I am expected store contacts to resolve the situation,-0.128
8489,Quality Issue,2.67,The fabric isn't good.,-0.3412
8501,Fulfillment Error,3.5,Product not delivered I bought two pruducts together and received only one code. Automatically I found that I would see both but only one arrived,0.0
8505,Fulfillment Error,3.74,"You have been missing pieces!!!!! Product has been missing pieces, I request another one urgently because I have already made the payment! I would like the contact, urgently.",-0.471
8507,Major Product Issue,4.29,Product defect Ilhos came with defect.,-0.5859
8510,Fulfillment Error,3.5,Movie's not gel The movie they report as being gel in the ad is actually a common plastic movie.,0.0
8514,Not a Defect,0.0,I'm waiting for the product to be installed in a specialized store.,0.0
8516,Logistics Issue,3.21,"the account shows that the product has been delivered but so far not delivered day 26/03,made the complaint 30/03",-0.4215
8519,Fulfillment Error,3.5,The delivered product does not correspond to the product I ordered.,0.0
8523,Logistics Issue,3.0,"If the store doesn't have the responsibility to deliver the products because it's still on the baratheon website, then I've called the baratheon several times.",0.0
8544,Quality Issue,2.67,Product of very low quality,-0.3384
8550,Fulfillment Error,3.33,Another product came I bought a movie from Moto Z2 Play and came from Asus ZenFone 4 Selfie. Screen sizes are different.,0.34
8562,Logistics Issue,3.0,"I'm waiting for the collar and the drinker, so far I haven't been told I'd be sent later, not even a contact from the vendors.",0.0
8577,Fulfillment Error,3.86,"I bought 4 items, however, only arrived 1, the worst is that with the tax grade of the 4 that I had bought as if in that package were all items. It takes time to solve the problem that occurred.",-0.7184
8586,Not a Defect,0.0,"Horrible!! Product of terrible quality, nothing to do with the photo. The skirt is not straight the same in the photo, it gets full of folds. They do not buy, I just wanted my money back!!!",-0.8568
8588,Not a Defect,0.0,"In the description, please inform us that there are 03 units of the product, but there are 3 items: a tableware+01 tableware+01 ring = the tableware is super small, it does not fit in a tableware.",0.6525
8602,Not a Defect,0.0,Great.,0.6249
8621,Not a Defect,0.0,"I ordered 2 of the same product, it was shipped in different packages, leaving no trace.",-0.296
8627,Logistics Issue,3.0,I did not receive the product purchased more than 20 days ago,0.0
8630,Logistics Issue,2.76,"Horrible Seller The product had the payment approved 1 day after payment, although the seller waited 6 days later to send only 1 day to win the delivery deadline and the product has not yet arrived.",0.4767
8652,Not a Defect,0.0,"I paid freight, but I didn't get my product, I had to withdraw it from the post office. I think they should have some goodwill in the deliveries and do the right thing, deliver the goods.",0.0
8671,Fulfillment Error,3.5,Didn't I get all the product?,0.0
8688,Logistics Issue,3.0,They just delivered it to the post office so I could go and they didn't even inform me of it. result? the product was returned to the store. CANCELEI!,0.0
8693,Fulfillment Error,3.69,Wrong I ordered a perfume Hugo boss energise. Until then td fine. Only the perfume has no aroma or fixation. The lid came loose.,-0.3818
8698,Logistics Issue,3.0,It wasn't delivered.,0.0
8699,Logistics Issue,3.0,I made my purchase on 14/02 and so far I have not received my product. That is to say more than a month.,0.0
8703,Fulfillment Error,3.5,The carpet looked much taller (the hairs) than it really was. On top of it it was cut crooked.,-0.0094
8716,Logistics Issue,3.0,"It is on the site as a product delivered on 18/01/2018, but in fact the product has not yet arrived.",0.0
8721,Fulfillment Error,3.93,Wrong grade I received the contact lenses with the wrong grade. I requested 1.50 and came with 1.75. Sad because I need the lenses for Saturday 19/05.,-0.8519
8726,Fulfillment Error,3.5,Size The picture in the photo seems to be much bigger than it really is.,0.0
8730,Not a Defect,0.0,"I expected a better quality, but it's a good product.",0.7003
8739,Logistics Issue,3.2,Until this date I have not received a position on the delivery of the purchased product. They have only sent an email saying that there was a problem in the delivery and so far nothing,-0.4019
8748,Not a Defect,0.0,"Well, I didn't use the product, but it looks good.",0.6597
8753,Not a Defect,0.0,"I bought two curtains the bad, sorry, one is in the detour phase, but I don't recommend this salesman but I'd like to do the detour of the two without more.",-0.2059
8754,Fulfillment Error,3.5,Didn't come the total product I bought 2 products and received only 1,0.0
8771,Fulfillment Error,3.45,Dissatisfaction The product came with the lens of another brand that causes visual alteration I previously bought a glasses of the same brand and did not have that problem. It seems that only the frame and original.,0.092
8776,Logistics Issue,2.78,Odiei The product returned to the seller and even hj n gave me satisfaction... N can enter in.contact with them... I called in the Lannisters and told me that they would request the forwarding of the product... Until hj nothing...:(,0.4404
8788,Not a Defect,0.0,I don't recommend it.,-0.2755
8789,Critical Failure,5.0,Product not delivered Not arrived the product could send some e-mail explaining,0.0
8790,Fulfillment Error,3.46,I bought one product and got another one I want to return,0.0772
8794,Not a Defect,0.0,♪ to make it a little better ♪,0.3832
8795,Logistics Issue,3.0,"I ordered the cancellation of the purchase due to the delivery time, as soon as it was made. I received the product and is here to return. How to return?",0.0
8799,Fulfillment Error,3.5,I don't know how I can assess if I didn't get the goods.,0.0
8800,Fulfillment Error,3.65,Once again missing item Artificial Flower Kit Orchid Golden Rain 10 Units Sold and delivered by targaryen Qtd 1,-0.296
8813,Fulfillment Error,3.5,"I only got the Eastern Grill, I didn't get the two pots.",0.0
8814,Major Product Issue,4.2,"I have received the product full of defects. I have already requested the return of the money, I am waiting for return",-0.4019
8820,Not a Defect,0.0,"I paid the value of the freight to receive the product at my residence, but in my city the whole area is considered restricted, this by the incompetence of the post office adm that does not have enough staff",-0.7992
8821,Fulfillment Error,3.54,"Delivery x announced Product of good quality and met my expectations. My dissatisfaction is related to the cable issue, which in the announced says 3 meters and I received 1 meter. I will have to assume an additional cost.",-0.0772
8828,Fulfillment Error,3.5,I bought a bag from the moon and I got it from Marsha.,0.0
8831,Fulfillment Error,3.28,"In the note was described 4 product being that when I opened came 3, I hope you are on your way",0.4404
8833,Fulfillment Error,3.5,"The product arrived within the deadline, was delivered the correct product, although the product arrived incomplete, because it was to come four products and was delivered only two. And the tax note is incorrect.",0.0
8846,Quality Issue,2.83,"Very bad quality, the edges of the drawing came with a burning look, I can't get the film out of the front of the mirror to see if it affected the same... without adhesive to fix.",-0.659
8857,Fulfillment Error,3.77,"I've never had a problem with shopping at the Lannister store... but this product came with some broken parts, making it impossible to assemble, waiting for the exchange 26/10/17.",-0.5455
8872,Logistics Issue,3.0,So far I haven't received,0.0
8876,Logistics Issue,3.16,It was marked one day for delivery and was not fulfilled,-0.3252
8884,Fulfillment Error,3.14,Very nice curtain and good quality.. It's just a little transparent,0.7178
8889,Not a Defect,0.0,Great.,0.6249
8903,Not a Defect,0.0,"Good product delivered in perfect condition within the stipulated deadline, all ok. Thank you.",0.8442
8904,Major Product Issue,4.22,Power cable came cm defective,-0.4404
8912,Fulfillment Error,3.74,My glass film came broken and didn't come along with my cell phone. I had to wait a long time and couldn't use it.,-0.4767
8919,Fulfillment Error,3.93,"The product came wrong I had no support for exchange or return of money, unfortunately I will have to go in with a lawsuit to solve my problem",-0.8611
8927,Logistics Issue,3.15,My product that CANCELEI before generating NFE has not yet arrived for me to refuse.,-0.296
8928,Fulfillment Error,3.59,The request came wrong. It's the biggest bureaucracy to exchange. They play p lannister' and lannister' says I have to deal with them.,-0.1779
8933,Logistics Issue,3.0,"My game isn't here yet, I'm waiting",0.0
8941,Quality Issue,2.9,Bad quality Bad quality product It has nothing to do with the description or the photo!,-0.807
8945,Logistics Issue,3.0,I have not yet received the product,0.0
8954,Fulfillment Error,3.5,I bought a product that was announcing something and the product doesn't match the ad,0.0
8955,Logistics Issue,3.0,They delivered only 1. I bought two of the same brand (case one billion),0.0
8969,Not a Defect,0.0,"Very light panel, well finished, with safety valve and all the important items. The only inconsistency is to have placed a glass in the viewfinder that blurs in the first 30 seconds of use and nothing can be seen...",0.7152
8972,Logistics Issue,3.0,I bought two units and only one arrived.,0.0
8990,Fulfillment Error,3.6,"I want the money back Only one license arrived with Microsoft's stamp and the other one was printed on the tax note, which I thought was very strange. Besides, the license doesn't work.",-0.2006
9007,Logistics Issue,3.0,"The website reports that the product was delivered in 22/05, but today is 24/05 and so far I have not received the goods.",0.0
9009,Not a Defect,0.0,I didn't get the product I didn't get the product,0.0
9012,Quality Issue,2.79,Product with defect The product came with defect. Touchscreen is not working. I am waiting for the store to send the postal code so that I can return the goods.,-0.5859
9021,Fulfillment Error,3.54,"Brought the wrong product I bought two earphones worth R$ 50, 32 and delivered the cable to iPhone worth R$ 10",-0.0772
9034,Fulfillment Error,3.16,"I got the tax bill for 6 products but they only delivered 1 , I called the shopkeeper and it was so thoughtful he said he had sent the 6 because he said he had to make an order (box) for each glass",0.6756
9048,Not a Defect,0.0,Product not received I did not receive the product that is being charged on my credit card.,0.2023
9049,Logistics Issue,3.41,"Didn't I check on this targaryen company before, after the purchase I saw it's a terrible company, many complaints, Americans because you still have such an irresponsible company as a partner?",-0.8271
9053,Fulfillment Error,3.88,"bad product came wrong, I did all the process to make the exchange. they gave me two days to answer me and nothing. I called and asked to wait. tomorrow the deadline to return or exchange. they will force me to stay",-0.765
9097,Logistics Issue,3.15,"They place on the site that the product is already delivered no longer arrived at the destination, when it claims there with two or three days arrives",-0.296
9098,Fulfillment Error,3.5,I bought quantity (2) and received qty(1). When will I receive the other cartridge?,0.0
9104,Quality Issue,2.2,Although beautiful the quilt is very thin,0.5994
9105,Not a Defect,0.0,"the product came incomplete, were two trays and was only delivered one, and the tax note is collecting the value of two containing only one item in the same, very dissatisfied",-0.1263
9107,Fulfillment Error,3.34,"I like it, it came well, but the product is smaller than I expected.",0.3182
